id,fashion,mood,lyrics,style,descr
50,Security Cam,"ระทึก, ปลอดภัย",,"Minimal Techno, Pulse, Watchful, Serious, Tech",กล้องวงจรปิด
51,Beach Vlog,"ทะเล, ชิล",,"Reggae, Ukulele, Chill, Island vibe, Relaxed, Sunny",เที่ยวทะเล
52,Adventure/Hiking,"ผจญภัย, ยิ่งใหญ่",,"Cinematic Folk, Stomps, Mumford style, Wide, Epic, Mountains","เดินป่า, แคมป์ปิ้ง"
53,City Trip,"ทันสมัย, เมือง",,"City Pop, Funk, Japanese style, Neon, Night life, Busy","เที่ยวกรุงเทพ, ญี่ปุ่น"
54,Road Trip,"ขับรถ, อิสระ",,"Classic Rock, Highway, Driving, Guitar solo, Freedom, USA",ขับรถเที่ยว
55,Luxury Hotel,"หรู, พรีเมียม",,"Lounge Jazz, Piano, Cocktail, Classy, Expensive, Lobby",รีวิวโรงแรม 5 ดาว
56,Cultural,"พื้นเมือง, ขลัง",,"World Music, Ethnic instruments, Percussion, Travel, Discovery","เที่ยววัด, โบราณสถาน"
57,Drone Shot,"ลอย, สวยงาม",,"Ambient, Post-Rock, Reverb guitar, Flying, Beautiful, Sky",ภาพมุมสูง
58,Family Trip,"อบอุ่น, ครอบครัว",,"Acoustic Pop, Happy, Claps, Together, Wholesome, Fun",เที่ยวกับลูก
59,Night Market,"สนุก, คนเยอะ",,"Electro Swing, Busy, Beat, Food, Walking, Lights",ตลาดกลางคืน
60,Slow Life,"ช้าๆ, ซึมซับ",,"Piano Solo, Minimal, Emotional, Touching, Slow motion",คลิปสโลว์ไลฟ์
61,Flash Sale,"เร่งด่วน, นับถอยหลัง",,"Techno, Siren, Fast, Alarm, High BPM, Urgency, Now",ลดราคาจำกัดเวลา
62,Grand Opening,"ยิ่งใหญ่, เปิดตัว",,"Fanfare, Brass, Orchestral, Celebration, Big, Announcement",เปิดร้านใหม่
63,Seasonal Sale,"เทศกาล, สนุก",,"Big Band, Swing, Happy, Shopping, Crowd, Holiday","โปรปีใหม่, สงกรานต์"
64,Giveaway,"ตื่นเต้น, ลุ้น",,"Game Show, Fun, Bouncy, Lottery, Winner, Prize",แจกรางวัล
65,Soft Launch,"เบาๆ, เรียกน้ำย่อย",,"Synth Pop, Light, Teaser, Coming soon, Mystery, Cool",สินค้าตัวอย่าง
66,Exclusive,"พิเศษ, จำกัด",,"Deep House, VIP, Club, Dark, Premium, Select",สมาชิก VIP
67,Clearance,"โกลาหล, หมดแล้วหมดเลย",,"Punk Rock, Fast, Chaotic, Garage, Sale, Crazy",ล้างสต๊อก
68,Livestream Intro,"ทักทาย, เป็นกันเอง",,"Lo-fi, Intro music, Welcome, Chill, Chatting, Loop",เพลงเปิดไลฟ์สด
69,Call to Action,"ย้ำ, ให้กดซื้อ",,"Trap, Punchy, Effect, Click, Buy now, Short",ช่วงท้ายคลิป
70,Testimonial,"น่าเชื่อถือ, จริงจัง",,"Corporate, Piano, Warm pads, Trust, Review, Interview",ลูกค้ารีวิว
71,Education/Tutor,"ฉลาด, วิชาการ",,"Classical, Mozart effect, Strings, Focus, Smart, Learning",คอร์สเรียนออนไลน์
72,Financial/Crypto,"ทันสมัย, เงินทอง",,"Synthwave, Digital, Upward, Growth, Money, Tech","กราฟหุ้น, คริปโต"
73,Charity,"ซึ้ง, กินใจ",,"Cinematic Piano, Emotional, Strings, Hope, Helping, Sad",รับบริจาค
74,Automotive,"แรง, เครื่องยนต์",,"Industrial Rock, Heavy, Gear, Machine, Power, Speed","น้ำมันเครื่อง, อู่รถ"
75,Real Estate,"กว้างขวาง, อนาคต",,"Corporate, Inspiring, Vision, Modern, Bright, Success","ขายบ้าน, คอนโด"
76,Wedding,"รัก, โรแมนติก",,"Acoustic Wedding, Violin, Piano, Love, Sweet, Forever",ธีมงานแต่ง
77,Party/Event,"เต้น, สุดเหวี่ยง",,"EDM, Big Room, Festival, Drop, Hands up, Party",งานอีเวนต์
78,Unboxing,"ตื่นเต้น, แกะกล่อง",,"Future Bass, Pop, Glitter sound, Surprise, Wow, Fun",แกะกล่องสินค้า
79,Interview,"เบา, ไม่กวนเสียง",,"Minimal Jazz, Double Bass, Brushes, Background, Talk",คลิปสัมภาษณ์
80,Horror/Mystery,"น่ากลัว, ลุ้น",,"Dark Ambient, Drone, Creepy, Suspense, Tension, Scary",สินค้าธีมผี/ฮาโลวีน
81,Comedy/Skit,"ตลก, ขำขัน",,"Polka, Tuba, Pizzicato, Sneaky, Funny, Prank",คลิปตลก
82,Motivational,"ปลุกใจ, สู้ชีวิต",,"Epic Rock, Anthem, Drums, Power, Rising, Hero","คำคม, แรงบันดาลใจ"
83,Nostalgia,"คิดถึง, วันวาน",,"90s Pop, Acoustic, Sentimental, Memory, Old school",สินค้าย้อนยุค
84,Futuristic,โลกอนาคต,,"Sci-fi, Space, Synthesizer, Floating, Galaxy, Discovery",นวัตกรรมใหม่
85,Cute Animals,"แมว, หมา",,"8-bit, Chiptune, Cute, Game, Meow, Bark",คลิปสัตว์โลก
86,Book/Reading,"สงบ, ปัญญา",,"Classical Guitar, Library vibe, Quiet, Solo, Thoughtful",รีวิวหนังสือ
87,Art/Design,"ศิลปะ, นามธรรม",,"Abstract, Experimental, Glitch, Texture, Color, Creative",อุปกรณ์ศิลปะ
88,Coffee Morning,เริ่มต้นวันใหม่,,"Acoustic, Birds, Sun, Rise, Gentle, Optimistic",สวัสดีตอนเช้า
89,Night Drive,"เหงา, ขับรถกลางคืน",,"Synthwave, Nightcall style, Neon, Lonely, Cool",ขับรถกลางคืน
90,Rain/Mood,"ฝนตก, เหงา",,"Jazz, Rain sounds, Saxophone, Moody, Coffee, Chill",สินค้าหน้าฝน
91,8-Bit Game,เกมย้อนยุค,,"8-bit, Nintendo style, Arcade, Jump, Coin sound, Fun","เกมเก่า, ของเล่น"
92,Corporate Happy,"องค์กร, ทีมงาน",,"Whistling, Ukulele, Claps, Corporate, Teamwork, Success",แนะนำบริษัท
93,Dramatic,"ดราม่า, ละคร",,"Orchestral, Minor key, Tension, Conflict, Violin, Sad",ละครสั้นโฆษณา
94,Western/Cowboy,"คาวบอย, ลุย",,"Country, Banjo, Western, Horse, Acoustic, Yeehaw","แคมป์ปิ้ง, หนัง"
95,Space/Galaxy,"อวกาศ, ไร้แรงโน้มถ่วง",,"Ambient, Reverb, Wide, Stars, Deep, Float",กล้องดูดาว
96,Underwater,"ใต้น้ำ, ดำน้ำ",,"Muted, Filtered, Bubbles, Deep House, Aqua, Floating",อุปกรณ์ดำน้ำ
97,Magic/Fantasy,เวทมนตร์,,"Celesta, Chimes, Sparkle, Fantasy, Disney style, Magic","สินค้าเด็ก, นิทาน"
98,Robot/AI,หุ่นยนต์,,"Vocoder, Robot voice, Beep, Tech, Future, Machine","AI, หุ่นยนต์"
99,Luxury Car,"หรู, นุ่ม",,"Smooth Jazz, Night, City, Leather, Class, Expensive",เคลือบแก้วรถยนต์
100,The End,"จบ, เครดิต",,"Pop Rock, Outro, Conclusion, Goodbye, Thanks, Fade out",ท้ายคลิป
