id,fashion,mood,lyrics,style,descr,rand
125,อุปกรณ์อาบน้ำ,กลิ่นหอมฟุ้ง,[Instrumental] [Floral],"Chamber Pop, Violin, Elegant, Bright, Flower field",สบู่เหลวน้ำหอม,0.6830163503
197,อาหารเสริม,เพิ่มความจำ,[Instrumental] [Memory],"Ambient Electronic, Layered, Focused",อาหารเสริมช่วยความจำวัยเรียน,0.4832102349
191,อุปกรณ์อาบน้ำ,สบู่ก้อนลดกลิ่นตัว,[Instrumental] [Freshness],"Funk, Clean Bassline, Confident, Sharp",สบู่ลดกลิ่นกายสำหรับคนเหงื่อมาก,0.6596584521
151,อุปกรณ์อาบน้ำ,เจลล้างมือ,[Instrumental] [Safe],"Corporate Pop, Bright, Safe, Friendly, Clean",เจลล้างมือแอลกอฮอล์กลิ่นหอม,0.2812483843
116,อุปกรณ์อาบน้ำ,เย็นสดชื่น (Ice),[Instrumental] [Cold],"Electro Pop, Icy Synths, Sharp, Fast, Refreshing, 130 BPM",สบู่สูตรเย็น Menthol,0.740567499
113,อาหารเสริม,"มีสมาธิ, ทำงาน",[Instrumental] [Flow],"Chillhop, Lofi Beats, Steady, Productive, Study Vibe",วิตามินบำรุงสมอง,0.1092380162
175,อุปกรณ์อาบน้ำ,แชมพูสมุนไพร,[Instrumental] [Organic],"Acoustic Folk, Earthy, Natural, Honest",แชมพูมะกรูดอัญชัน,0.2942874432
148,อาหารเสริม,โปรไบโอติก,[Instrumental] [Balance],"Minimal House, Groovy, Happy Gut, Bouncy",จุลินทรีย์ปรับสมดุลลำไส้,0.7970918401
170,วิตามิน,วิตามินเม็ดฟู่,[Instrumental] [Sparkling],"Bossa Nova, Shaker, Refreshing, Light",วิตามินละลายน้ำสดชื่น,0.4155454284
103,อุปกรณ์อาบน้ำ,"สะอาด, เช้าตรู่",[Instrumental] [Intro] [Build-up] [Outro],"Acoustic Pop, Upright Bass, Handclaps, Morning Vibe, Happy",เจลอาบน้ำปลุกความสดชื่น,0.5722373093
142,อุปกรณ์อาบน้ำ,ครีมนวดผม,[Instrumental] [Silky],"Cinematic Strings, Flowing, Smooth, Elegant",ครีมนวดผมผมนุ่มลื่น,0.06166165131
101,อุปกรณ์อาบน้ำ,"สดชื่น, ฟองสบู่",[Instrumental] [Intro] [Chorus] [Outro],"Tropical House, Marimba, Bubbles, Bright, Upbeat, Summer, 124 BPM",โชว์ฟองสบู่นุ่มๆ จังหวะสนุก,0.9106230373
118,อาหารเสริม,"หลับสบาย, คลายเครียด",[Instrumental] [Night],"Lullaby, Space Ambient, Deep Reverb, Slow, Dreamy",วิตามินช่วยให้นอนหลับ,0.4122525561
159,อุปกรณ์อาบน้ำ,กลิ่นกุหลาบ,[Instrumental] [Romantic],"French Pop, Accordion, Sweet, Elegant, Rose",เจลอาบน้ำกลิ่นกุหลาบฝรั่งเศส,0.05753580561
187,อุปกรณ์อาบน้ำ,เจลกำจัดขน,[Instrumental] [Smooth],"Chillwave, Sleek, Modern, Sliding",เจลเตรียมผิวก่อนโกนขน,0.6181130498
155,อุปกรณ์อาบน้ำ,สบู่ล้างหน้า (Facial Wash),[Instrumental] [Gentle],"Jazz Hop, Soft Piano, Smooth, Daily routine",โฟมล้างหน้าสูตรอ่อนโยน,0.8048545708
146,อุปกรณ์อาบน้ำ,สบู่ก้อนแฮนด์เมด,[Instrumental] [Craft],"Folk, Banjo, Acoustic, Raw, Natural, Earthy",สบู่ทำมือจากวัตถุดิบธรรมชาติ,0.798344437
186,วิตามิน,วิตามินซี 1000mg,[Instrumental] [Giant],"Big Band, Brass, Powerful, Bright",วิตามินซีเข้มข้นสูงสุด,0.4362921805
163,อุปกรณ์อาบน้ำ,สบู่ขมิ้น,[Instrumental] [Heritage],"Thai Fusion, Modern Beats, Exotic, Herb",สบู่สมุนไพรขมิ้นไทย,0.06850374078
107,ครีมบำรุงผิว,"กระจ่างใส, Glow",[Instrumental] [Shimmer],"Nu-Disco, Shimmering Synths, Glittery, Upbeat, Fashionable","ครีมหน้าใส, งานผิวฉ่ำวาว",0.4389774745
111,อาหารเสริม,"พลังงาน, ตื่นตัว",[Instrumental] [Energy],"Future Bass, High Energy, Uplifting, Punchy Synths, 128 BPM","เวย์โปรตีน, พลังงานก่อนออกกำลังกาย",0.7096421576
105,อุปกรณ์อาบน้ำ,"สนุกสนาน, เด็ก",[Instrumental] [Playful],"Toy Town, Ukulele, Whistle, Bouncy, Cute, High Pitched",ยาสระผมเด็ก กลิ่นผลไม้,0.2778238167
124,วิตามิน,บำรุงสายตา,[Instrumental] [Focus],"Cinematic Piano, Soft Echo, Clear, Visionary",วิตามินบำรุงดวงตา,0.007048779493
123,อาหารเสริม,ดีท็อกซ์ (Detox),[Instrumental] [Flow],"Liquid Drum and Bass, Smooth, Fast, Clean, Watery",ไฟเบอร์ดีท็อกซ์ลำไส้,0.02855429684
102,อุปกรณ์อาบน้ำ,"ผ่อนคลาย, สปา",[Instrumental] [Intro] [Verse] [End],"Zen, Ambient, Water drops, Bamboo Flute, Soft Pads, 80 BPM","สบู่สมุนไพร, แช่น้ำอ่างไม้",0.2524248401
158,วิตามิน,แมกนีเซียม,[Instrumental] [Relax],"Downtempo, Deep Bass, Calm, Night vibe",แมกนีเซียมลดการตะคริว,0.1466719981
172,ครีมบำรุงผิว,บำรุงริมฝีปาก (Lip),[Instrumental] [Sweet],"Kawaii Pop, Cute, Small, Sparkling",ลิปมันบำรุงปากอมชมพู,0.3838081553
189,อาหารเสริม,เมล็ดเจีย/ซุปเปอร์ฟู้ด,[Instrumental] [Natural],"Acoustic Pop, Organic, Healthy, Earthy",ซุปเปอร์ฟู้ดบำรุงสุขภาพ,0.9343665818
128,อาหารเสริม,คุมน้ำหนัก,[Instrumental] [Active],"Dance-Pop, Energetic, Bouncy, Workout, Fun",อาหารเสริมคุมหิว,0.4691996223
